,Unnamed: 0,0
0,forename,
1,surname,
2,DOB,DD/MM/YYYY
3,ID,C
4,Gender,Male
5,Experiment,ExpOne
6,condition,
7,RecTime,20
8,PL1,48.72378170815149
9,PL2,41.79644235659412
10,MID,46.96117641567139
11,MID_mean,0.0394631734585473
12,forename,
13,surname,
14,DOB,DD/MM/YYYY
15,ID,C
16,Gender,Male
17,Experiment,ExpOne
18,condition,
19,RecTime,20
20,PL1,37.02331424358439
21,PL2,41.38826292361991
22,MID,36.72621299804488
23,MID_mean,0.0308623638639032
24,forename,
25,surname,
26,DOB,DD/MM/YYYY
27,ID,C
28,Gender,Male
29,Experiment,ExpOne
30,condition,
31,RecTime,20
32,PL1,35.892307634506444
33,PL2,43.80410587846198
34,MID,37.33157825963785
35,MID_mean,0.0313710741677629
36,forename,
37,surname,
38,DOB,DD/MM/YYYY
39,ID,C
40,Gender,Male
41,Experiment,ExpOne
42,condition,
43,RecTime,20
44,PL1,918.6679611679637
45,PL2,722.7154655941627
46,MID,721.028007331503
47,MID_mean,0.6757525841907245
48,forename,
49,surname,
50,DOB,DD/MM/YYYY
51,ID,C
52,Gender,Male
53,Experiment,ExpOne
54,condition,
55,RecTime,20
56,PL1,14441.878065964842
57,PL2,14353.528903077056
58,MID,11297.123155102938
59,MID_mean,11.480816214535508
60,forename,
61,surname,
62,DOB,DD/MM/YYYY
63,ID,C
64,Gender,Male
65,Experiment,ExpOne
66,condition,
67,RecTime,20
68,PL1,10305.051001570906
69,PL2,8413.751990910963
70,MID,8519.20073700125
71,MID_mean,8.199423230992542
