m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
35.4291,110.3126,1041.3912,60.6139,44.9365,1057.6721,128.7978,44.6571,1132.4148
34.9516,110.1990,1040.9257,60.3825,44.8617,1057.3707,128.5333,44.5580,1131.7745
34.4738,110.0853,1040.4597,60.1511,44.7867,1057.0688,128.2685,44.4587,1131.1333
33.9957,109.9715,1039.9928,59.9194,44.7117,1056.7661,128.0036,44.3594,1130.4912
33.5174,109.8576,1039.5251,59.6876,44.6367,1056.4626,127.7384,44.2600,1129.8481
33.0388,109.7435,1039.0562,59.4557,44.5616,1056.1581,127.4731,44.1605,1129.2037
32.5599,109.6293,1038.5862,59.2236,44.4864,1055.8525,127.2074,44.0609,1128.5580
32.0808,109.5148,1038.1148,58.9912,44.4111,1055.5455,126.9415,43.9612,1127.9107
31.7353,109.4350,1037.7608,58.8207,44.3702,1055.3680,126.7616,43.9099,1127.5052
31.4657,109.3687,1037.4653,58.6909,44.3722,1055.2995,126.6360,43.8810,1127.2560
31.2977,109.3352,1037.2761,58.5876,44.3802,1055.2178,126.5759,43.8598,1127.1446
31.2069,109.2811,1037.2815,58.5520,44.3739,1055.1904,126.5256,43.8377,1127.0066
31.1008,109.2446,1037.1409,58.5042,44.3504,1055.1117,126.5105,43.8165,1126.9266
31.0352,109.2201,1037.0519,58.5108,44.3333,1055.0683,126.5051,43.8273,1126.8865
30.9988,109.2034,1036.9991,58.4986,44.3147,1054.9523,126.5081,43.8718,1126.8793
30.9855,109.1917,1036.9736,58.4717,44.3001,1054.8512,126.5205,43.9161,1126.9018
30.9930,109.1830,1036.9709,58.4266,44.2821,1054.7693,126.5201,43.9465,1126.9248
31.0223,109.1758,1036.9902,58.3557,44.2575,1054.6924,126.5370,43.9638,1127.0362
31.0782,109.1688,1037.0345,58.3185,44.2392,1054.6598,126.5584,43.9653,1127.1147
31.0994,109.1383,1037.0134,58.3089,44.2328,1054.6654,126.5871,43.9501,1127.1665
31.0902,109.1144,1036.9222,58.3251,44.2286,1054.7103,126.6277,43.9158,1127.1997
31.0488,109.0930,1036.7453,58.3696,44.2257,1054.8016,126.6908,43.8757,1127.2585
30.9720,109.0817,1036.5754,58.4506,44.2589,1054.9533,126.7008,43.8469,1127.2377
30.8469,109.0785,1036.3841,58.5068,44.2934,1055.0908,126.6609,43.8287,1127.1493
30.7220,109.0704,1036.2375,58.5442,44.3275,1055.1736,126.6217,43.8186,1127.0542
30.6465,109.0668,1036.2083,58.5685,44.3425,1055.2161,126.5809,43.8202,1126.9777
30.6040,109.0562,1036.1693,58.5836,44.3406,1055.2250,126.5308,43.8330,1126.8977
30.5884,109.0546,1036.1637,58.5911,44.3234,1055.1830,126.5046,43.8602,1126.8636
30.5950,109.0777,1036.1432,58.5967,44.3179,1055.1640,126.4860,43.8894,1126.8500
30.6256,109.0953,1036.1011,58.5977,44.2916,1055.1019,126.4839,43.9117,1126.8707
30.6905,109.1027,1036.1910,58.6008,44.2944,1055.0995,126.4866,43.8681,1126.9131
30.7284,109.1013,1036.2917,58.5997,44.2723,1055.0428,126.5811,43.6405,1127.0996
30.7431,109.1051,1036.3470,58.6010,44.2761,1055.0355,126.6069,43.6425,1127.2272
30.7370,109.1147,1036.3660,58.6047,44.3062,1055.0759,126.5817,43.6899,1127.2111
30.7789,109.1427,1036.4490,58.6114,44.3678,1055.1707,126.5494,43.7184,1127.1079
30.8042,109.1573,1036.4620,58.6154,44.4166,1055.2220,126.5239,43.7605,1127.0043
30.8170,109.1608,1036.4071,58.6150,44.4474,1055.1989,126.5083,43.7878,1126.9417
30.8231,109.1723,1036.3966,58.6167,44.3471,1055.2369,126.5000,43.8049,1126.9092
30.8251,109.1823,1036.3764,58.6161,44.2459,1055.2663,126.4887,43.8208,1126.8645
30.8188,109.2105,1036.3228,58.6141,44.2657,1055.2588,126.4811,43.8318,1126.8363
30.8063,109.2136,1036.2960,58.6163,44.3099,1055.3345,126.4760,43.8398,1126.8196
30.7855,109.1919,1036.2913,58.6197,44.3634,1055.4547,126.4723,43.8461,1126.8111
30.8184,109.1832,1036.2855,58.6179,44.3946,1055.5182,126.4817,43.8377,1126.8254
30.8439,109.1858,1036.3022,58.6105,44.4085,1055.5352,126.5055,43.8134,1126.8642
30.8661,109.2002,1036.3436,58.5962,44.4076,1055.5083,126.5471,43.8054,1126.9375
30.8192,109.1837,1036.3158,58.5747,44.3975,1055.4724,126.5731,43.7757,1126.9990
30.7621,109.1852,1036.2423,58.5435,44.3791,1055.4403,126.5647,43.7470,1126.9665
30.6884,109.1645,1036.1797,58.5711,44.4062,1055.4883,126.5285,43.7353,1126.9107
30.6524,109.1696,1036.1454,58.5882,44.4265,1055.5419,126.5014,43.7408,1126.8790
30.6468,109.1835,1036.0835,58.5965,44.4406,1055.5912,126.4785,43.7644,1126.8657
30.6007,109.1809,1035.9367,58.5950,44.4448,1055.6040,126.4510,43.7714,1126.8147
30.5815,109.1812,1035.8877,58.5833,44.4401,1055.5821,126.4305,43.7809,1126.7773
30.5849,109.1692,1035.8862,58.5595,44.4254,1055.5218,126.4347,43.7782,1126.7834
30.6103,109.1768,1035.9345,58.5194,44.3982,1055.4125,126.4440,43.7857,1126.8063
30.5919,109.1940,1035.9429,58.5343,44.4031,1055.3940,126.4479,43.7872,1126.8303
30.5972,109.2010,1036.0070,58.5320,44.4005,1055.3633,126.4587,43.8002,1126.8781
30.6269,109.1988,1036.1369,58.5155,44.4216,1055.3774,126.4645,43.8304,1126.9264
30.6814,109.2097,1036.2348,58.5513,44.4404,1055.4578,126.4624,43.8548,1126.9438
30.7039,109.2016,1036.3382,58.5690,44.4492,1055.4770,126.4642,43.8635,1126.9490
30.6934,109.1885,1036.3448,58.5714,44.4493,1055.4379,126.4699,43.8580,1126.9424
30.7180,109.1865,1036.3527,58.5612,44.4466,1055.3734,126.4683,43.8511,1126.9061
30.7863,109.1727,1036.4821,58.5375,44.4432,1055.2913,126.4645,43.8434,1126.8835
30.8348,109.1560,1036.5373,58.5031,44.4932,1055.2908,126.4578,43.8336,1126.8704
30.8751,109.1450,1036.6492,58.4548,44.4834,1055.2581,126.4468,43.8201,1126.8639
30.8403,109.1392,1036.6153,58.4308,44.3101,1055.2570,126.4602,43.8464,1126.9068
30.7966,109.1302,1036.5617,58.4019,44.1348,1055.2386,126.4674,43.8703,1126.9254
30.8040,109.1221,1036.5430,58.3967,44.1579,1055.2509,126.4659,43.8947,1126.9084
30.8629,109.1476,1036.5585,58.4144,44.2296,1055.2874,126.4733,43.9113,1126.9185
30.8450,109.1965,1036.4616,58.4670,44.2937,1055.3704,126.4782,43.9506,1126.9421
30.8194,109.2572,1036.4064,58.4885,44.3288,1055.4135,126.4726,43.9657,1126.8958
30.8524,109.3172,1036.4776,58.4802,44.3347,1055.3837,126.4666,43.8156,1126.8385
30.8751,109.3734,1036.5263,58.4662,44.3384,1055.3342,126.4534,43.6629,1126.7534
30.8311,109.3280,1036.4780,58.4933,44.2983,1055.3222,126.4441,43.6466,1126.6852
30.8362,108.9157,1036.5818,58.4922,44.2296,1055.2440,126.4588,43.5947,1126.6342
30.7655,108.7730,1036.5660,58.4636,44.1210,1055.1028,126.4675,43.5292,1126.5475
30.6703,108.6288,1036.4821,58.4778,43.9621,1054.9943,126.5042,43.3856,1126.4517
30.4833,108.4239,1036.2456,58.5368,43.7264,1054.8998,126.5750,43.1261,1126.3289
30.2921,108.1356,1035.9892,58.6499,43.3476,1054.8043,126.6713,42.7306,1126.1311
30.0663,107.6480,1035.6639,58.8362,42.7896,1054.6903,126.8088,42.1331,1125.8247
29.7669,106.7671,1035.0839,59.1278,41.9579,1054.5589,126.9817,41.2026,1125.1967
29.4555,105.8824,1034.4773,59.4125,41.1242,1054.4042,127.1458,40.2696,1124.5361
28.9682,104.6376,1033.6884,59.8288,39.8164,1054.1549,127.4109,38.8136,1123.4325
28.2234,102.7470,1032.4534,60.3671,37.8857,1053.5679,127.7432,36.6843,1121.6666
27.0275,99.8512,1030.4657,60.9859,35.2156,1052.6113,128.1470,33.7222,1119.1600
25.2582,95.5100,1027.6676,61.4436,31.6249,1051.0194,128.5323,29.8046,1115.7612
22.8947,89.6165,1023.8203,61.4735,27.0105,1048.3754,128.8449,24.8961,1111.5401
20.0956,82.2907,1018.9646,60.9784,21.5097,1044.5587,128.9932,19.0924,1106.4780
16.8088,73.8231,1012.9072,59.9328,15.3376,1039.5616,128.8541,12.5747,1100.5592
13.1692,64.7249,1005.6019,58.5134,8.7361,1033.5266,128.3804,5.6447,1093.3817
9.2528,55.5229,997.2122,56.9281,2.0913,1026.9002,127.3326,-1.3169,1084.3814
5.0097,46.8563,987.5054,55.2683,-4.1717,1019.7541,125.5551,-7.8317,1073.2019
0.3624,39.4614,976.6401,53.3972,-9.5282,1011.8578,122.9053,-13.3493,1059.7708
-4.8315,34.3519,964.6116,51.1880,-13.2709,1003.0206,119.1670,-17.1574,1044.1219
-10.8551,32.7218,951.4482,48.3037,-14.5692,992.8005,114.2073,-18.3875,1026.6536
