x,y,z
112.4204,99.9531,1615.7390
111.9337,99.8093,1615.0354
111.4467,99.6654,1614.3309
110.9594,99.5213,1613.6251
110.4717,99.3771,1612.9179
109.9838,99.2328,1612.2090
109.4954,99.0883,1611.4983
109.0068,98.9436,1610.7855
108.6588,98.8576,1610.3170
108.3964,98.8109,1610.0104
108.2306,98.7876,1609.8192
108.1422,98.7463,1609.7392
108.0578,98.7058,1609.5896
108.0255,98.6903,1609.5033
108.0028,98.6949,1609.4153
107.9889,98.7039,1609.3634
107.9698,98.7058,1609.3325
107.9575,98.6985,1609.3594
107.9776,98.6866,1609.4045
107.9977,98.6606,1609.4227
108.0215,98.6294,1609.4161
108.0546,98.5972,1609.4027
108.0617,98.5937,1609.3832
108.0073,98.6003,1609.3121
107.9439,98.6083,1609.2327
107.8980,98.6148,1609.2010
107.8592,98.6149,1609.1460
107.8420,98.6191,1609.1052
107.8388,98.6425,1609.0786
107.8536,98.6494,1609.0368
107.8889,98.6326,1609.1018
107.9546,98.5071,1609.2170
107.9755,98.5118,1609.3048
107.9617,98.5554,1609.3265
107.9698,98.6145,1609.3637
107.9717,98.6672,1609.3442
107.9702,98.6980,1609.2738
107.9700,98.6622,1609.2714
107.9649,98.6245,1609.2536
107.9570,98.6540,1609.2090
107.9493,98.6817,1609.2250
107.9388,98.7007,1609.2786
107.9590,98.7078,1609.3146
107.9799,98.7039,1609.3508
108.0047,98.7066,1609.3947
107.9835,98.6784,1609.3936
107.9351,98.6557,1609.3246
107.8940,98.6530,1609.2893
107.8710,98.6685,1609.2832
107.8609,98.6942,1609.2702
107.8234,98.6986,1609.1777
107.7977,98.7011,1609.1236
107.7896,98.6864,1609.0956
107.7869,98.6804,1609.0767
107.7870,98.6922,1609.0836
107.7939,98.7008,1609.1242
107.8035,98.7254,1609.2203
107.8475,98.7525,1609.3182
107.8685,98.7572,1609.3821
107.8674,98.7479,1609.3625
107.8738,98.7421,1609.3161
107.8942,98.7297,1609.3285
107.8978,98.7414,1609.3492
107.8883,98.7243,1609.3856
107.8657,98.6478,1609.3896
107.8329,98.5676,1609.3628
107.8333,98.5874,1609.3511
107.8753,98.6443,1609.3822
107.8951,98.7204,1609.3871
107.8903,98.7758,1609.3579
107.8996,98.7337,1609.3499
107.8974,98.6873,1609.3069
107.8842,98.6364,1609.2427
107.8936,98.3700,1609.2300
107.8483,98.2116,1609.1082
107.8262,97.9882,1608.9640
107.7976,97.6383,1608.7372
107.8066,97.1069,1608.4623
107.8557,96.2854,1608.0895
107.9382,94.9638,1607.4198
108.0069,93.6381,1606.7088
108.1040,91.6338,1605.6379
108.1668,88.6585,1603.8440
108.0802,84.3945,1601.1185
107.6171,78.4698,1597.2241
106.6065,70.7616,1591.8679
105.0336,61.4464,1585.0006
102.7979,50.8677,1576.5140
100.0316,39.5528,1566.2551
96.7567,28.1486,1554.2469
92.9166,17.4265,1540.2307
88.3324,8.2919,1524.1343
82.7617,1.9618,1505.8770
75.8279,-0.1174,1485.4512
68.8848,-2.1758,1465.0054
61.9342,-4.2126,1444.5445
54.9774,-6.2275,1424.0732
48.0163,-8.2199,1403.5962
41.0523,-10.1894,1383.1181
34.0870,-12.1354,1362.6438
27.1221,-14.0575,1342.1779
20.1592,-15.9551,1321.7251
13.1998,-17.8277,1301.2902
6.2456,-19.6749,1280.8779
-0.7178,-17.8293,1262.5295
-7.4056,-13.4694,1246.1260
-13.5789,-7.4482,1231.6894
-19.0129,-0.3934,1219.1282
