m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
30.9213,108.5519,1038.9997,59.0811,44.7902,1049.1029,133.1268,45.0574,1135.5113
30.4780,108.4187,1037.6758,59.0787,44.5848,1049.0889,133.5469,44.7955,1136.2876
30.5622,108.4320,1037.7933,59.0811,44.7902,1049.1029,133.1759,44.8911,1135.5765
30.5883,108.3809,1038.5050,58.6545,44.6931,1048.7793,133.2465,44.9271,1136.1804
30.4780,108.4187,1037.6758,59.0421,44.6331,1049.3081,133.2283,45.0184,1136.0443
30.4999,108.4853,1038.4113,58.6545,44.6931,1048.7793,133.0045,45.0074,1135.7462
30.0790,108.4187,1037.8235,59.0958,44.7235,1049.3754,133.2795,45.2618,1136.5110
30.4780,108.4187,1037.6758,59.0787,44.5848,1049.0889,133.1672,44.8459,1136.1891
30.4780,108.4187,1037.6758,58.6646,44.5660,1048.9929,133.4593,44.9401,1136.3044
30.4780,108.4187,1037.6758,58.6374,44.5545,1048.4931,133.4782,44.9686,1136.4700
30.4780,108.4187,1037.6758,59.0772,44.5145,1049.0912,133.4782,44.9686,1136.4700
30.4848,108.5267,1037.9770,59.0743,44.3740,1049.0958,133.5651,44.8702,1136.8786
30.4747,108.2760,1037.6799,58.6603,44.4362,1048.9747,133.2806,45.1458,1136.5124
30.4814,108.3840,1037.9811,58.6746,44.4997,1049.2233,133.2524,45.0012,1136.2449
30.4697,108.4795,1037.6976,59.1241,44.8123,1049.8667,133.2411,45.1025,1136.1692
30.4765,108.3488,1037.7985,58.6782,44.5710,1049.2768,133.2530,44.9958,1136.2490
30.4765,108.3488,1037.7985,59.1241,44.8123,1049.8667,133.8060,44.9498,1137.1870
30.4798,108.4915,1037.7943,59.1211,44.6662,1049.8714,133.2312,44.9662,1136.0589
30.4719,108.5093,1037.5622,59.1211,44.6662,1049.8714,133.2312,44.9662,1136.0589
30.0592,108.4250,1037.2073,59.1241,44.8123,1049.8667,133.2312,44.9662,1136.0589
30.4798,108.4915,1037.7943,59.1241,44.8123,1049.8667,133.2831,44.9243,1136.4902
30.4798,108.4915,1037.7943,58.6782,44.5710,1049.2768,133.2831,44.9243,1136.4902
30.0574,108.3522,1037.0889,59.1241,44.8123,1049.8667,133.2831,44.9243,1136.4902
30.0592,108.4250,1037.2073,59.1241,44.8123,1049.8667,133.2510,44.9666,1136.2266
30.4798,108.4915,1037.7943,58.6782,44.5710,1049.2768,133.2437,45.0558,1136.1820
30.4798,108.4915,1037.7943,59.1241,44.8123,1049.8667,133.2176,45.0768,1135.9659
30.4780,108.4187,1037.6758,58.6479,44.4927,1048.7443,133.2176,45.0768,1135.9659
30.0592,108.4250,1037.2073,59.1241,44.8123,1049.8667,133.2437,45.0558,1136.1820
30.4824,108.5941,1037.9612,59.1241,44.8123,1049.8667,133.7664,45.0814,1136.8784
30.4798,108.4915,1037.7943,59.1241,44.8123,1049.8667,133.2437,45.0558,1136.1820
30.0574,108.3522,1037.0889,59.1211,44.6662,1049.8714,133.7402,45.1024,1136.6620
30.4780,108.4187,1037.6758,59.1211,44.6662,1049.8714,133.1744,45.0294,1135.5904
