m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
686.5000,478.0000,720.5000,472.0000,800.3438,325.4375
687.0000,478.0000,720.5000,472.0000,799.9545,325.8636
686.5000,478.0000,720.5000,472.0000,800.3261,325.1087
686.6000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5968,478.2097,720.0000,472.0000,800.0000,325.5000
686.5000,478.0000,720.4412,471.7941,800.0000,325.5000
686.5000,478.0000,720.0000,472.0000,799.7857,325.5000
686.0000,478.0000,720.5000,472.0000,800.0000,325.7500
686.5000,478.0000,720.5000,472.0000,799.9091,325.2121
686.5000,478.0000,720.0000,471.8750,800.2273,325.2273
686.5000,478.0000,720.0000,472.0000,800.2273,325.2273
686.5000,478.0000,720.5000,471.8333,800.2273,325.2273
686.5000,478.0000,720.5000,471.5000,800.2692,325.1154
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.5000,472.0000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.5000,472.0000,800.5000,325.5000
686.5000,478.0000,720.5000,471.6538,800.0000,325.5000
686.5000,478.0000,720.5000,471.6538,800.0000,325.5000
686.0000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,478.0000,720.0000,471.5000,800.0000,325.5000
686.0000,478.0000,720.5000,472.0000,800.0000,325.5000
686.0000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,478.0000,720.0000,471.5000,800.0000,325.5000
686.5000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,478.0000,720.0000,471.5000,800.0000,325.5000
686.0000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,478.0000,720.5000,472.0000,800.5000,325.5000
686.5000,478.0000,720.5000,472.0000,800.0000,325.5000
686.0000,478.0000,720.5000,471.6538,800.5000,325.5000
686.5000,478.0000,720.5000,471.6538,800.0000,325.5000
686.5000,478.0000,720.5000,472.0000,800.5000,325.5000
686.5000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,478.0000,720.5000,472.0000,800.0000,325.5000
686.5000,477.6538,720.5000,471.6538,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,326.0000
686.5000,477.6538,720.5000,471.5000,799.8077,326.8077
nan,nan,nan,nan,nan,nan
686.5000,477.6538,720.5000,471.5000,800.5000,322.5000
686.5000,477.6538,720.5000,471.5000,800.0000,325.0000
686.5000,478.0000,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.0000,471.6154,800.0000,325.5000
686.5000,477.6538,720.5000,472.0000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
687.0000,478.5000,720.5000,471.6538,800.0000,325.5000
686.5000,478.0000,720.0000,471.5000,799.8333,325.5000
686.5000,478.0000,720.0000,471.5000,800.0000,325.5000
686.5000,478.0000,720.5000,471.6538,800.0000,325.6364
686.5000,478.3462,720.5000,471.5000,800.0000,325.5000
686.5000,477.6538,720.5000,471.6538,800.0000,325.5000
686.5000,477.6538,720.5000,472.0000,800.0000,325.5000
686.5000,477.6538,720.5000,472.0000,800.0000,325.5000
686.5000,477.6538,720.5000,472.0000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.5000,477.6538,720.5000,472.0000,800.0000,325.5000
686.5000,477.6538,720.0000,471.5000,800.0000,325.5000
686.0000,478.0000,720.0000,471.6154,800.0000,325.5000
