x,y,z
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
111.5646,99.1997,1611.8070
111.5518,98.8995,1611.5262
111.4096,99.0566,1611.2364
111.2447,99.0006,1611.7324
111.3742,99.0351,1611.5141
111.0794,99.0929,1611.4684
111.2272,99.2020,1611.8550
111.3620,98.9247,1611.4769
111.3009,98.9624,1611.4866
111.2968,98.9709,1611.3195
111.5167,98.9509,1611.6185
111.5621,98.8855,1611.9756
111.2078,98.9290,1611.5835
111.2042,98.9424,1611.7247
111.4174,99.1971,1611.8667
111.2038,98.9578,1611.6621
111.7033,99.0554,1612.4261
111.4161,99.0619,1611.8623
111.4121,99.0708,1611.7462
111.2072,99.1017,1611.5664
111.4435,99.1140,1612.0756
111.2206,98.9934,1611.7807
111.2323,99.0444,1611.7229
111.2171,99.1020,1611.6503
111.2008,99.0592,1611.6266
111.4108,99.1903,1611.8135
111.1718,98.9941,1611.1930
111.2135,99.1466,1611.6280
111.6864,99.2439,1612.3531
111.4238,99.1798,1611.9215
111.4594,99.0604,1611.8112
111.3867,99.0571,1611.5688
111.6641,99.0925,1612.0281
111.4265,99.0988,1611.8845
111.4056,99.1772,1611.7228
111.4229,99.1434,1611.8622
111.4197,98.9990,1611.8667
111.1980,99.1039,1611.6272
111.3363,99.2357,1611.9435
nan,nan,nan
111.6521,98.3114,1611.9321
111.4554,98.8157,1612.1603
111.2206,98.9934,1611.7807
111.2202,98.9734,1611.8661
111.2010,99.0635,1611.7112
111.4234,99.1598,1612.0070
111.2289,98.9189,1612.0912
111.2202,98.9734,1611.8661
111.1915,98.9691,1611.5598
111.1810,98.9853,1611.4300
111.6324,99.2506,1612.4156
111.1648,98.9989,1611.9313
111.2531,99.0005,1612.0823
111.4721,99.0459,1612.2851
111.4103,99.1562,1611.8148
111.4088,99.0432,1611.8527
111.4091,99.1189,1611.8155
111.4144,99.0897,1611.8547
111.4135,99.0533,1611.7955
111.1862,98.9983,1611.5206
111.1852,98.9619,1611.4613
111.4040,99.1134,1611.7715
111.2149,98.9310,1611.6666
110.9848,99.0054,1611.2707
111.1161,99.0445,1611.1272
111.1836,99.0902,1610.8078
111.2341,98.9102,1610.8377
112.0315,98.8033,1611.6539
112.8956,98.4448,1611.0987
112.9129,97.4198,1608.6356
111.7372,95.2755,1601.4637
nan,nan,nan
107.7633,86.3032,1584.5290
104.9949,79.9017,1571.5962
102.3779,72.6243,1557.8720
nan,nan,nan
97.7663,55.9186,1527.9651
94.0518,46.4324,1508.6645
89.2812,37.5630,1487.7530
82.9168,29.7164,1464.6661
75.9539,23.0890,1440.7035
67.7898,18.3808,1415.7127
58.9786,15.5500,1391.1244
49.1573,14.2511,1365.4980
38.9407,14.8536,1340.5509
28.7970,17.0871,1316.0016
18.2457,20.5744,1292.5069
7.4975,24.9605,1270.8194
-3.4665,30.6738,1250.5485
-13.6122,37.6469,1233.7724
-23.4160,44.8256,1218.0913
-31.4663,51.7732,1205.3351
-38.8087,57.8602,1193.9708
-43.2270,64.0964,1185.6248
-46.4618,69.9319,1178.7364
-48.3517,75.5852,1173.3539
-48.8961,81.4591,1170.2235
-49.3520,87.7268,1168.4185
-49.5202,93.2741,1167.6987
-50.1294,95.0198,1165.9882
-50.1685,95.8096,1164.7510
-49.9610,96.4771,1164.4986
-50.0543,96.6413,1164.8489
-50.0387,97.1971,1164.6806
-49.8129,97.5682,1165.6679
-50.3460,97.6619,1165.0913
-50.4582,97.8358,1165.4325
-50.7809,98.0231,1165.5943
-51.1131,97.9439,1165.0474
-51.3138,98.0561,1165.7230
-51.1245,98.1234,1166.3749
-50.9306,98.1510,1166.6051
-51.1797,97.8131,1166.1709
-51.1585,98.0313,1166.1263
-51.2664,97.8930,1165.8137
-51.3103,97.9182,1165.4899
-50.8982,98.3319,1165.5829
-50.8557,98.2564,1165.1490
-50.9132,98.2883,1165.2517
-51.1842,98.2189,1165.1122
-51.2957,98.2423,1164.7407
-51.3693,98.2073,1164.8051
-51.2366,98.1710,1164.8064
-51.5019,98.0201,1164.6057
-51.2811,97.9287,1164.7120
-51.4712,97.9222,1164.6197
-51.4515,97.9863,1164.6260
-51.5492,98.0193,1164.4047
-51.1459,97.9945,1164.2858
-51.0551,97.8356,1164.0692
-51.1230,97.9122,1164.2742
-50.6604,97.7665,1164.7898
-50.7999,97.7965,1164.4976
-51.0724,97.6808,1164.1158
-51.1043,97.5860,1163.9325
-51.0009,97.5048,1163.8293
-50.8942,97.4960,1164.0591
-50.7636,97.5567,1164.3857
-50.7104,97.4081,1164.3173
-50.7953,97.6757,1164.0349
-50.6304,97.5253,1164.4396
-50.8553,97.4427,1164.2896
-51.0031,97.4160,1164.0960
-50.8643,97.3790,1164.3261
-50.9304,97.2060,1164.2301
-50.8285,97.2597,1164.3079
-50.9417,97.3696,1163.9345
-50.8749,97.2269,1164.1546
-50.8115,97.2404,1164.1712
-50.8400,97.0847,1164.1305
-50.7151,97.2264,1164.2900
-50.6747,97.4815,1164.1305
-50.7111,97.5812,1163.9919
nan,nan,nan
-50.7960,96.7661,1163.9053
-50.6795,96.9890,1163.8703
-50.5348,96.9533,1164.1848
-50.5316,96.9677,1164.1658
-50.5572,97.0137,1163.9887
-50.6793,96.9588,1164.0605
-50.3614,97.1386,1164.3731
-50.8468,96.9519,1164.0221
-50.6587,97.1133,1164.1900
-50.6432,97.0530,1164.1333
-50.6359,97.1499,1164.2319
-50.6887,97.1781,1163.9931
-50.8113,97.1269,1163.9163
-50.9754,97.2664,1163.8605
-51.1288,97.0074,1163.5756
-50.8695,97.2529,1163.9352
-51.0865,97.2467,1163.6878
-50.7747,97.2375,1164.1455
-50.7177,97.3457,1164.0668
-51.1364,97.1727,1163.6884
