m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
709.0000,456.5000,725.5000,302.5000,739.0000,446.0000
709.5000,456.5000,725.5000,302.0000,738.8636,446.1364
709.5000,456.5000,725.5000,302.5000,739.0000,446.0000
709.0000,456.0000,725.3182,302.3182,738.6702,446.0319
709.5000,456.5000,725.3182,302.3182,738.7500,446.2500
709.0000,456.5000,725.3182,302.3182,738.7500,446.2500
709.0000,456.5000,725.3182,302.3182,738.5000,446.5000
709.5000,456.5000,725.5000,302.0000,738.6000,446.1500
709.5000,456.5000,725.1757,302.1216,738.7838,446.3378
709.5000,456.5000,725.5000,302.0000,738.6944,446.3889
709.5000,456.5000,725.5000,302.0000,738.6944,446.3889
709.3000,456.7000,725.5000,302.0000,738.5000,446.2500
709.5000,456.5000,725.1923,302.1923,738.5000,446.5000
709.3000,456.7000,725.0319,302.3298,738.6389,446.1944
709.5000,457.0000,725.0000,302.5000,738.6860,446.4302
709.4231,456.6538,725.0000,302.5000,738.6364,446.1818
709.4231,456.6538,725.0000,302.5000,738.5000,446.0000
709.4231,456.6538,725.0000,302.5000,738.7391,446.1304
709.5833,456.7500,725.0000,302.5000,738.7391,446.1304
709.4231,456.6538,725.0000,302.5000,738.7391,446.1304
709.4231,456.6538,725.0000,302.5000,738.5000,446.0000
709.4231,456.6538,725.0000,302.5000,738.5000,446.0000
709.5000,456.5000,725.0000,302.5000,738.5000,446.0000
709.4231,456.6538,725.0000,302.5000,738.6471,446.1176
709.4231,456.6538,725.0000,302.5000,738.6765,446.3235
709.4231,456.6538,725.0000,302.5000,738.7963,446.3889
709.5000,456.5000,725.3462,302.3462,738.7963,446.3889
709.4231,456.6538,725.0000,302.5000,738.6765,446.3235
709.3148,456.8704,725.0000,302.5000,738.6765,446.3235
709.4231,456.6538,725.0000,302.5000,738.6765,446.3235
709.5000,456.5000,725.0000,302.5000,738.7963,446.3889
709.5000,456.5000,725.0000,302.5000,739.0000,446.3125
709.5000,456.5000,725.0000,302.5000,738.8696,446.0652
709.5000,456.5000,725.0000,302.5000,738.6471,446.1176
709.5000,456.5000,725.0000,302.5000,738.8333,446.5000
709.5000,456.5000,725.0000,302.5000,738.6765,446.3235
709.5000,456.5000,725.0000,302.5000,738.6765,446.3235
709.4231,456.6538,725.0000,302.5000,738.6765,446.3235
709.4231,456.6538,725.0000,302.5000,738.5000,446.0000
709.5833,456.7500,725.0000,302.5000,738.7500,446.2500
709.5000,456.5000,725.0000,302.5000,739.0000,446.5000
709.5000,456.5000,725.0000,302.5000,738.3529,446.1176
709.4231,456.6538,725.0000,302.5000,738.5000,446.0000
709.3148,456.8704,725.0000,302.5000,738.5000,446.0000
709.3148,456.8704,725.0000,302.5000,738.6765,446.3235
709.3148,456.8704,725.0000,302.5000,738.6765,446.3235
709.0000,456.5000,725.0000,302.5000,738.5000,446.0000
709.3148,456.8704,725.0000,302.5000,738.5000,446.0000
709.4231,456.6538,725.0000,302.5000,738.7500,446.2500
709.5000,456.5000,725.0000,302.5000,738.8333,446.5000
709.0000,456.5000,725.0000,302.5000,738.7963,446.3889
709.4231,456.6538,725.0000,302.5000,738.2083,446.0000
709.3750,456.6250,725.0000,302.5000,738.2083,446.0000
709.5000,456.5000,725.0000,302.5000,738.2083,446.0000
709.4231,456.6538,725.0000,302.5000,738.7963,446.3889
709.3750,456.6250,725.0000,302.5000,738.7963,446.3889
709.4231,456.6538,725.0000,302.5000,738.7963,446.3889
709.4231,456.6538,725.0000,302.5000,738.7500,446.2500
709.5000,456.5000,725.0000,302.5000,738.7500,446.2500
709.4231,456.6538,725.0000,302.5000,738.7963,446.3889
709.5000,456.5000,725.0000,302.5000,738.7963,446.3889
709.4231,456.6538,725.0000,302.5000,738.8441,446.3710
709.5833,456.7500,725.0000,302.5000,738.5000,446.0000
709.4231,456.6538,725.0000,302.5000,738.7391,446.1304
